trial trialType response stillTime stimOnset stimOffset respTime correctionTrial correct
001 2 1 1.04407e+07 1.83932e+08 1.84951e+08 2.03351e+08 0 1
002 1 1 2.06983e+08 2.32073e+08 2.33093e+08 2.50408e+08 0 0
003 1 0 2.57539e+08 2.70896e+08 2.71915e+08 2.72259e+08 1 1
004 1 1 2.74991e+08 2.88029e+08 2.89049e+08 3.0395e+08 0 0
005 1 1 3.11864e+08 3.19462e+08 3.20481e+08 3.30065e+08 1 0
006 1 1 3.37371e+08 3.47378e+08 3.48398e+08 3.62951e+08 1 0
007 1 1 3.70942e+08 3.79645e+08 3.80664e+08 4.18598e+08 1 0
008 1 1 4.26079e+08 4.38916e+08 4.39936e+08 4.49325e+08 0 0
009 1 1 4.59335e+08 4.73383e+08 4.74403e+08 4.83124e+08 0 0
010 2 1 4.92048e+08 5.11664e+08 5.12683e+08 5.14217e+08 0 1
011 2 1 5.19065e+08 5.33425e+08 5.34445e+08 5.48813e+08 0 1
012 1 0 5.56746e+08 5.70953e+08 5.71973e+08 5.77241e+08 0 1
013 1 0 5.80277e+08 5.85138e+08 5.86157e+08 5.86327e+08 0 1
014 2 1 5.93538e+08 6.06343e+08 6.07363e+08 6.07856e+08 0 1
015 1 1 6.11475e+08 6.20966e+08 6.21985e+08 6.22086e+08 0 0
016 1 1 6.29129e+08 6.4228e+08 6.433e+08 6.43534e+08 1 0
017 1 1 6.52632e+08 6.83183e+08 6.84202e+08 6.84506e+08 1 0
018 1 0 6.91762e+08 7.04632e+08 7.05651e+08 7.18518e+08 1 1
019 2 1 7.22004e+08 7.26858e+08 7.27878e+08 7.30954e+08 0 1
020 2 0 7.33614e+08 7.49768e+08 7.50788e+08 7.50843e+08 0 0
021 2 1 7.5976e+08 7.70195e+08 7.71215e+08 7.76704e+08 1 1
022 1 0 7.79738e+08 7.8991e+08 7.9093e+08 7.91081e+08 0 1
023 2 1 7.95317e+08 8.10281e+08 8.11301e+08 9.05422e+08 0 1
024 1 1 9.08123e+08 9.17073e+08 9.18093e+08 9.38425e+08 0 0
025 1 1 9.45517e+08 9.63436e+08 9.64455e+08 9.6446e+08 1 0
026 1 1 9.71927e+08 9.80987e+08 9.82006e+08 9.83776e+08 1 0
027 1 1 9.92841e+08 1.00298e+09 1.004e+09 1.0333e+09 1 0
028 2 1 1.04066e+09 1.05125e+09 1.05227e+09 1.06513e+09 0 1
029 1 1 1.06862e+09 1.08545e+09 1.08647e+09 1.08678e+09 0 0
030 1 1 1.09414e+09 1.10572e+09 1.10673e+09 1.11997e+09 1 0
031 1 1 1.1271e+09 1.14354e+09 1.14456e+09 1.15872e+09 1 0
032 1 1 1.16608e+09 1.17512e+09 1.17614e+09 1.18474e+09 1 0
033 1 1 1.19186e+09 1.20196e+09 1.20298e+09 1.20871e+09 0 0
034 2 1 1.21764e+09 1.22733e+09 1.22835e+09 1.22836e+09 0 1
035 2 1 1.23117e+09 1.24237e+09 1.24339e+09 1.24525e+09 0 1
036 2 1 1.24922e+09 1.26054e+09 1.26156e+09 1.27159e+09 0 1
037 2 1 1.27457e+09 1.29174e+09 1.29276e+09 1.3159e+09 0 1
038 2 1 1.31878e+09 1.32897e+09 1.32999e+09 1.3302e+09 0 1
039 2 1 1.33442e+09 1.34971e+09 1.35073e+09 1.35074e+09 0 1
040 2 1 1.35547e+09 1.36583e+09 1.36685e+09 1.37129e+09 0 1
041 2 1 1.37432e+09 1.38757e+09 1.38859e+09 1.39223e+09 0 1
042 1 1 1.39491e+09 1.40388e+09 1.4049e+09 1.40716e+09 0 0
043 1 1 1.41459e+09 1.42944e+09 1.43046e+09 1.47449e+09 1 0
044 1 1 1.4827e+09 1.49175e+09 1.49277e+09 1.49998e+09 1 0
045 1 1 1.51141e+09 1.52111e+09 1.52213e+09 1.52215e+09 1 0
046 1 1 1.53489e+09 1.54943e+09 1.55045e+09 1.56427e+09 0 0
047 2 1 1.57158e+09 1.58182e+09 1.58284e+09 1.59813e+09 0 1
048 1 1 1.6045e+09 1.61771e+09 1.61873e+09 1.62126e+09 0 0
049 1 1 1.6285e+09 1.6388e+09 1.63982e+09 1.64006e+09 1 0
050 1 1 1.64745e+09 1.66032e+09 1.66134e+09 1.67275e+09 1 0
051 1 1 1.6798e+09 1.6909e+09 1.69192e+09 1.69544e+09 1 0
052 2 1 1.70269e+09 1.72528e+09 1.7263e+09 1.72631e+09 0 1
053 2 1 1.729e+09 1.74197e+09 1.74299e+09 1.75184e+09 0 1
054 2 1 1.75524e+09 1.76859e+09 1.76961e+09 1.7728e+09 0 1
055 2 1 1.77545e+09 1.78962e+09 1.79064e+09 1.79859e+09 0 1
056 2 1 1.80156e+09 1.81868e+09 1.8197e+09 1.82161e+09 0 1
057 1 1 1.82421e+09 1.83988e+09 1.8409e+09 1.84126e+09 0 0
058 1 1 1.84848e+09 1.86275e+09 1.86377e+09 1.8638e+09 1 0
059 1 1 1.87198e+09 1.88815e+09 1.88917e+09 1.88935e+09 1 0
060 1 1 1.89678e+09 1.90587e+09 1.90689e+09 1.90797e+09 1 0
061 1 1 1.91529e+09 1.92586e+09 1.92688e+09 1.92974e+09 0 0
062 1 1 1.93702e+09 1.9458e+09 1.94682e+09 1.95216e+09 0 0
063 1 1 1.95931e+09 1.96989e+09 1.9709e+09 1.97168e+09 0 0
064 1 1 1.97881e+09 1.99261e+09 1.99363e+09 1.99446e+09 0 0
065 2 1 2.00186e+09 2.01285e+09 2.01387e+09 2.01594e+09 0 1
066 2 1 2.01878e+09 2.02829e+09 2.02931e+09 2.03002e+09 0 1
067 1 1 2.03337e+09 2.04285e+09 2.04387e+09 2.04391e+09 0 0
068 1 1 2.05417e+09 2.06319e+09 2.06421e+09 2.06575e+09 1 0
069 1 1 2.073e+09 2.08308e+09 2.0841e+09 2.08455e+09 1 0
070 1 1 2.09634e+09 2.11638e+09 2.1174e+09 2.11747e+09 1 0
071 1 1 2.12488e+09 2.1433e+09 2.14432e+09 2.14516e+09 0 0
072 2 1 2.15274e+09 2.16402e+09 2.16504e+09 2.16604e+09 0 1
