trial trialType response stillTime stimOnset stimOffset respTime correctionTrial correct
001 2 0 7.09121e+06 7.39129e+06 8.41042e+06 2.8941e+07 0 1
002 1 1 3.49082e+07 3.51821e+07 3.62012e+07 3.63501e+07 0 1
003 1 1 3.96319e+07 3.99198e+07 4.0939e+07 4.82595e+07 0 1
004 1 0 5.4227e+07 5.44863e+07 5.55054e+07 5.92664e+07 0 0
005 1 1 6.92746e+07 6.95364e+07 7.05555e+07 7.06875e+07 1 1
006 1 1 8.62065e+07 8.64546e+07 8.74738e+07 8.74895e+07 0 1
007 2 0 9.00823e+07 9.03458e+07 9.1365e+07 9.14787e+07 0 1
008 2 0 9.43882e+07 9.46367e+07 9.56558e+07 9.77388e+07 0 1
009 2 1 1.00711e+08 1.0097e+08 1.01989e+08 1.03512e+08 0 0
010 2 0 1.12961e+08 1.13227e+08 1.14246e+08 1.14361e+08 1 1
011 2 0 1.43333e+08 1.43585e+08 1.44604e+08 1.46267e+08 0 1
012 2 1 1.52641e+08 1.52905e+08 1.53924e+08 1.53941e+08 0 0
013 2 1 1.6146e+08 1.61716e+08 1.62736e+08 1.62795e+08 1 0
014 2 1 1.74057e+08 1.74304e+08 1.75323e+08 1.76377e+08 1 0
015 2 0 1.83904e+08 1.8418e+08 1.85199e+08 1.87569e+08 1 1
016 1 1 1.92501e+08 1.92759e+08 1.93778e+08 1.93951e+08 0 1
017 1 0 1.96824e+08 1.97089e+08 1.98108e+08 2.00848e+08 0 0
018 1 0 2.08884e+08 2.09141e+08 2.1016e+08 2.12043e+08 1 0
019 1 0 2.20643e+08 2.20909e+08 2.21929e+08 2.25009e+08 1 0
020 1 1 2.32231e+08 2.32495e+08 2.33514e+08 2.33537e+08 1 1
021 1 0 2.36408e+08 2.36671e+08 2.37691e+08 2.42198e+08 0 0
022 1 1 2.50842e+08 2.51106e+08 2.52125e+08 2.5459e+08 1 1
023 2 0 2.57353e+08 2.57613e+08 2.58632e+08 2.61003e+08 0 1
024 1 1 2.6369e+08 2.63949e+08 2.64968e+08 2.66381e+08 0 1
025 1 0 2.70464e+08 2.70732e+08 2.71751e+08 2.74174e+08 0 0
026 1 1 2.8164e+08 2.81902e+08 2.82921e+08 2.8645e+08 1 1
027 2 1 2.89105e+08 2.89365e+08 2.90384e+08 2.92221e+08 0 0
028 2 1 3.00084e+08 3.00348e+08 3.01367e+08 3.0147e+08 1 0
029 2 0 3.08816e+08 3.09077e+08 3.10096e+08 3.10474e+08 1 1
030 2 1 3.13473e+08 3.13727e+08 3.14746e+08 3.16839e+08 0 0
031 2 0 3.23971e+08 3.24227e+08 3.25246e+08 3.27207e+08 1 1
