trial trialType response stillTime stimOnset stimOffset respTime correctionTrial correct
001 2 0 3.20001e+06 3.45238e+06 4.47152e+06 1.09178e+07 0 1
002 2 1 1.44374e+07 1.47019e+07 1.57211e+07 1.64166e+07 0 0
003 2 0 2.39985e+07 2.42478e+07 2.52669e+07 2.75726e+07 1 1
004 2 0 3.03135e+07 3.05607e+07 3.15799e+07 3.15909e+07 0 1
005 2 0 4.20137e+07 4.22628e+07 4.32819e+07 4.34152e+07 0 1
006 2 1 4.92309e+07 4.94876e+07 5.05067e+07 5.09877e+07 0 0
007 2 0 6.12065e+07 6.14631e+07 6.24823e+07 6.24923e+07 1 1
008 1 1 6.54162e+07 6.56672e+07 6.66863e+07 7.27531e+07 0 1
009 1 1 7.57258e+07 7.59705e+07 7.69897e+07 7.72927e+07 0 1
010 2 0 9.30919e+07 9.33397e+07 9.43589e+07 9.43665e+07 0 1
011 1 1 1.2455e+08 1.24799e+08 1.25818e+08 1.25884e+08 0 1
012 1 1 1.51322e+08 1.51579e+08 1.52598e+08 1.52621e+08 0 1
013 1 1 1.61541e+08 1.61785e+08 1.62804e+08 1.63072e+08 0 1
014 2 0 1.67183e+08 1.67434e+08 1.68454e+08 1.6847e+08 0 1
015 2 0 1.76099e+08 1.76351e+08 1.7737e+08 1.77459e+08 0 1
016 2 1 1.80974e+08 1.81223e+08 1.82242e+08 1.87703e+08 0 0
017 2 0 1.98923e+08 1.99166e+08 2.00185e+08 2.00218e+08 1 1
018 2 1 2.53962e+08 2.54213e+08 2.55232e+08 2.55349e+08 0 0
019 2 0 2.65339e+08 2.65591e+08 2.6661e+08 2.66629e+08 1 1
020 2 0 3.1041e+08 3.10657e+08 3.11676e+08 3.11694e+08 0 1
021 1 1 3.20989e+08 3.21244e+08 3.22263e+08 3.22314e+08 0 1
022 2 1 3.45126e+08 3.45379e+08 3.46398e+08 3.46711e+08 0 0
023 2 1 3.6043e+08 3.6069e+08 3.61709e+08 3.61816e+08 1 0
024 2 0 3.7922e+08 3.79469e+08 3.80489e+08 3.8052e+08 1 1
025 2 0 3.85395e+08 3.85642e+08 3.86661e+08 3.87233e+08 0 1
026 2 0 3.97304e+08 3.97553e+08 3.98573e+08 3.98885e+08 0 1
027 1 1 4.21946e+08 4.22202e+08 4.23221e+08 4.23237e+08 0 1
028 2 0 4.53252e+08 4.53509e+08 4.54528e+08 4.54579e+08 0 1
029 1 1 4.60801e+08 4.61067e+08 4.62086e+08 4.62129e+08 0 1
030 1 1 4.85589e+08 4.85841e+08 4.8686e+08 4.86891e+08 0 1
031 2 0 5.10666e+08 5.1091e+08 5.11929e+08 5.11936e+08 0 1
032 1 1 5.14814e+08 5.15076e+08 5.16095e+08 5.1616e+08 0 1
033 1 0 5.18736e+08 5.18996e+08 5.20015e+08 5.20262e+08 0 0
034 1 1 5.60118e+08 5.60366e+08 5.61385e+08 5.61389e+08 1 1
035 1 1 5.86961e+08 5.8722e+08 5.88239e+08 5.88248e+08 0 1
036 2 0 6.00333e+08 6.00588e+08 6.01607e+08 6.01672e+08 0 1
037 1 1 6.19995e+08 6.20254e+08 6.21273e+08 6.21281e+08 0 1
038 2 0 6.63499e+08 6.6375e+08 6.64769e+08 6.64778e+08 0 1
039 1 1 6.85617e+08 6.85867e+08 6.86886e+08 6.86893e+08 0 1
040 2 0 6.91015e+08 6.9128e+08 6.92299e+08 6.92605e+08 0 1
041 2 0 7.00632e+08 7.00891e+08 7.0191e+08 7.01919e+08 0 1
042 1 1 7.26033e+08 7.26293e+08 7.27312e+08 7.27334e+08 0 1
043 2 0 7.61959e+08 7.62211e+08 7.6323e+08 7.6378e+08 0 1
044 2 0 7.95057e+08 7.95307e+08 7.96326e+08 7.96344e+08 0 1
045 1 1 8.22464e+08 8.22715e+08 8.23734e+08 8.2374e+08 0 1
046 2 0 8.32325e+08 8.32585e+08 8.33604e+08 8.33853e+08 0 1
047 1 1 8.50444e+08 8.50695e+08 8.51714e+08 8.51905e+08 0 1
048 1 1 8.54501e+08 8.54764e+08 8.55783e+08 8.55833e+08 0 1
049 2 0 8.79907e+08 8.80168e+08 8.81187e+08 8.81203e+08 0 1
050 1 1 9.04276e+08 9.0452e+08 9.05539e+08 9.0557e+08 0 1
051 1 1 9.13545e+08 9.138e+08 9.14819e+08 9.14848e+08 0 1
052 1 1 9.39429e+08 9.39688e+08 9.40707e+08 9.40716e+08 0 1
053 1 1 9.61324e+08 9.61584e+08 9.62603e+08 9.62655e+08 0 1
054 2 0 9.6726e+08 9.67512e+08 9.68531e+08 9.6862e+08 0 1
055 1 1 9.89395e+08 9.89646e+08 9.90665e+08 9.90875e+08 0 1
056 2 0 9.9656e+08 9.96822e+08 9.97841e+08 9.97879e+08 0 1
057 1 1 1.01872e+09 1.01898e+09 1.02e+09 1.02003e+09 0 1
058 1 1 1.03672e+09 1.03698e+09 1.038e+09 1.03801e+09 0 1
059 1 1 1.0591e+09 1.05935e+09 1.06037e+09 1.06038e+09 0 1
060 2 0 1.0827e+09 1.08296e+09 1.08398e+09 1.08399e+09 0 1
061 1 1 1.10127e+09 1.10152e+09 1.10254e+09 1.10255e+09 0 1
062 2 0 1.1179e+09 1.11815e+09 1.11917e+09 1.11919e+09 0 1
063 1 1 1.12173e+09 1.12199e+09 1.12301e+09 1.12308e+09 0 1
064 1 1 1.13217e+09 1.13243e+09 1.13345e+09 1.13345e+09 0 1
065 1 1 1.15435e+09 1.15461e+09 1.15563e+09 1.15563e+09 0 1
066 1 1 1.17203e+09 1.17227e+09 1.17329e+09 1.17331e+09 0 1
067 1 1 1.20677e+09 1.20703e+09 1.20805e+09 1.20852e+09 0 1
068 1 1 1.21727e+09 1.21753e+09 1.21855e+09 1.21857e+09 0 1
069 1 1 1.2301e+09 1.23037e+09 1.23139e+09 1.23141e+09 0 1
070 2 0 1.23684e+09 1.23709e+09 1.23811e+09 1.23819e+09 0 1
071 1 1 1.25609e+09 1.25634e+09 1.25735e+09 1.25736e+09 0 1
072 2 0 1.29731e+09 1.29757e+09 1.29859e+09 1.29865e+09 0 1
073 2 0 1.30328e+09 1.30353e+09 1.30455e+09 1.30457e+09 0 1
074 1 1 1.31163e+09 1.3119e+09 1.31292e+09 1.31293e+09 0 1
075 1 1 1.35104e+09 1.3513e+09 1.35232e+09 1.35236e+09 0 1
076 2 0 1.3554e+09 1.35566e+09 1.35668e+09 1.35685e+09 0 1
077 2 0 1.37651e+09 1.37676e+09 1.37778e+09 1.37779e+09 0 1
078 1 1 1.40227e+09 1.40253e+09 1.40354e+09 1.40355e+09 0 1
079 2 0 1.41342e+09 1.41366e+09 1.41468e+09 1.41474e+09 0 1
080 2 0 1.42336e+09 1.42361e+09 1.42463e+09 1.42488e+09 0 1
081 2 0 1.43041e+09 1.43066e+09 1.43168e+09 1.43168e+09 0 1
082 2 1 1.43427e+09 1.43452e+09 1.43554e+09 1.43555e+09 0 0
083 2 1 1.44415e+09 1.4444e+09 1.44542e+09 1.44543e+09 1 0
084 2 0 1.45312e+09 1.45338e+09 1.45439e+09 1.45441e+09 1 1
085 1 1 1.46751e+09 1.46776e+09 1.46878e+09 1.469e+09 0 1
086 2 0 1.47497e+09 1.47523e+09 1.47625e+09 1.47626e+09 0 1
087 1 1 1.50706e+09 1.50733e+09 1.50835e+09 1.50835e+09 0 1
088 2 0 1.51814e+09 1.5184e+09 1.51942e+09 1.51943e+09 0 1
089 2 1 1.54477e+09 1.54503e+09 1.54605e+09 1.54607e+09 0 0
090 2 0 1.56326e+09 1.56351e+09 1.56453e+09 1.56456e+09 1 1
091 2 0 1.56724e+09 1.5675e+09 1.56852e+09 1.56854e+09 0 1
